BinId	Completeness	Contamination	Status
GCF_003085735.1_ASM308573v1_genomic	100.0	0.0	OK
GCF_003076895.1_ASM307689v1_genomic	100.0	0.0	OK
GCF_002290245.2_ASM229024v2_genomic	100.0	0.0	OK
GCF_002220985.3_HGAP_genomic	100.0	0.0	OK
GCF_002209725.2_ASM220972v2_genomic	100.0	0.0	OK
GCF_002073775.2_ASM207377v2_genomic	100.0	0.0	OK
GCF_001996365.2_ASM199636v2_genomic	100.0	0.0	OK
GCF_001887055.1_ASM188705v1_genomic	100.0	0.0	OK
GCF_001879585.1_ASM187958v1_genomic	100.0	0.0	OK
GCF_001758605.1_ASM175860v1_genomic	100.0	0.0	OK
GCF_001700835.1_ASM170083v1_genomic	100.0	0.0	OK
GCF_001682175.1_ASM168217v1_genomic	100.0	0.0	OK
GCF_001636035.1_ASM163603v1_genomic	100.0	0.0	OK
GCF_001558495.2_ASM155849v2_genomic	100.0	0.0	OK
GCF_001433415.1_ASM143341v1_genomic	100.0	0.0	OK
GCF_001304775.1_ASM130477v1_genomic	100.0	0.0	OK
GCF_001244315.1_ASM124431v1_genomic	100.0	0.0	OK
GCF_001188185.2_ASM118818v2_genomic	100.0	0.0	OK
GCF_003047085.1_ASM304708v1_genomic	99.14	0.0	OK
GCF_003351885.1_ASM335188v1_genomic	93.1	0.0	OK
GCF_046581405.1_NHRI_VV7356_1.0_genomic	100.0	0.0	OK
GCF_046532655.1_ASM4653265v1_genomic	100.0	0.0	OK
GCF_045348105.1_ASM4534810v1_genomic	100.0	0.0	OK
GCF_031883075.1_ASM3188307v1_genomic	100.0	0.0	OK
GCF_030220165.1_ASM3022016v1_genomic	100.0	0.0	OK
GCF_029990625.1_ASM2999062v1_genomic	100.0	0.0	OK
GCF_025994915.1_ASM2599491v1_genomic	100.0	0.0	OK
GCF_014211935.1_ASM1421193v1_genomic	100.0	0.0	OK
GCF_014107515.1_ASM1410751v1_genomic	100.0	0.0	OK
GCF_009764115.1_ASM976411v1_genomic	100.0	0.0	OK
GCF_009764095.1_ASM976409v1_genomic	100.0	0.0	OK
GCF_009665475.1_ASM966547v1_genomic	100.0	0.0	OK
GCF_008693685.1_ASM869368v1_genomic	100.0	0.0	OK
GCF_004319645.1_ASM431964v1_genomic	100.0	0.0	OK
GCF_002863725.1_ASM286372v1_genomic	100.0	0.0	OK
GCF_002850455.1_ASM285045v1_genomic	100.0	0.0	OK
GCF_002215135.1_ASM221513v1_genomic	100.0	0.0	OK
GCF_002204915.1_ASM220491v1_genomic	100.0	0.0	OK
GCF_001675245.1_ASM167524v1_genomic	100.0	0.0	OK
GCF_001653775.1_ASM165377v1_genomic	100.0	0.0	OK
GCF_001558515.2_ASM155851v2_genomic	100.0	0.0	OK
GCF_001433435.1_ASM143343v1_genomic	100.0	0.0	OK
GCF_000746665.1_ASM74666v1_genomic	100.0	0.0	OK
