All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                 # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90      auN        L50  L90  # N's per 100 kbp
GCF_004319645.1_ASM431964v1_genomic      2                    2                       2                       2                        2                        2                        5018260                 5018260                    5018260                    5018260                     5018260                     5018260                     2          3217678         5018260       46.88   3217678  1800582  2709215.4  1    2    0.00             
GCF_008693685.1_ASM869368v1_genomic      2                    2                       2                       2                        2                        2                        4974815                 4974815                    4974815                    4974815                     4974815                     4974815                     2          3249353         4974815       46.72   3249353  1725462  2720807.5  1    2    0.00             
GCF_009665475.1_ASM966547v1_genomic      2                    2                       2                       2                        2                        2                        5079985                 5079985                    5079985                    5079985                     5079985                     5079985                     2          3294783         5079985       46.80   3294783  1785202  2764287.9  1    2    0.00             
GCF_009764095.1_ASM976409v1_genomic      2                    2                       2                       2                        2                        2                        4996741                 4996741                    4996741                    4996741                     4996741                     4996741                     2          3225605         4996741       46.81   3225605  1771136  2710056.5  1    2    0.00             
GCF_009764115.1_ASM976411v1_genomic      2                    2                       2                       2                        2                        2                        5226423                 5226423                    5226423                    5226423                     5226423                     5226423                     2          3472667         5226423       46.46   3472667  1753756  2895876.6  1    2    0.00             
GCF_014107515.1_ASM1410751v1_genomic     3                    3                       3                       3                        3                        3                        5356494                 5356494                    5356494                    5356494                     5356494                     5356494                     3          3400045         5356494       46.58   3400045  1890883  2826483.8  1    2    0.00             
GCF_014211935.1_ASM1421193v1_genomic     2                    2                       2                       2                        2                        2                        5032819                 5032819                    5032819                    5032819                     5032819                     5032819                     2          3260230         5032819       46.77   3260230  1772589  2736273.9  1    2    0.00             
GCF_025994915.1_ASM2599491v1_genomic     3                    3                       3                       3                        3                        3                        5385758                 5385758                    5385758                    5385758                     5385758                     5385758                     3          3292876         5385758       46.70   3292876  1769889  2614277.1  1    2    0.00             
GCF_029990625.1_ASM2999062v1_genomic     2                    2                       2                       2                        2                        2                        5018425                 5018425                    5018425                    5018425                     5018425                     5018425                     2          3273700         5018425       46.89   3273700  1744725  2742130.7  1    2    0.00             
GCF_030220165.1_ASM3022016v1_genomic     2                    2                       2                       2                        2                        2                        5080799                 5080799                    5080799                    5080799                     5080799                     5080799                     2          3264146         5080799       46.81   3264146  1816653  2746591.1  1    2    0.00             
GCF_031883075.1_ASM3188307v1_genomic     5                    5                       5                       5                        5                        5                        5239895                 5239895                    5239895                    5239895                     5239895                     5239895                     5          3216867         5239895       46.80   3216867  1761186  2571696.4  1    2    0.00             
GCF_045348105.1_ASM4534810v1_genomic     2                    2                       2                       2                        2                        2                        5113765                 5113765                    5113765                    5113765                     5113765                     5113765                     2          3302724         5113765       46.69   3302724  1811041  2774444.1  1    2    0.00             
GCF_046532655.1_ASM4653265v1_genomic     2                    2                       2                       2                        2                        2                        5046534                 5046534                    5046534                    5046534                     5046534                     5046534                     2          3257674         5046534       46.79   3257674  1788860  2737019.1  1    2    0.00             
GCF_046581405.1_NHRI_VV7356_1.0_genomic  5                    5                       4                       3                        3                        2                        5323145                 5323145                    5319141                    5312812                     5312812                     5262987                     5          5193938         5323145       46.37   5193938  5193938  5069239.8  1    1    0.00             
