All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90      auN        L50  L90  # N's per 100 kbp
GCF_001887055.1_ASM188705v1_genomic  2                    2                       2                       2                        2                        2                        5045560                 5045560                    5045560                    5045560                     5045560                     5045560                     2          3273522         5045560       45.43   3273522  1772038  2746189.7  1    2    0.00             
GCF_001996365.2_ASM199636v2_genomic  3                    3                       3                       3                        3                        3                        5389211                 5389211                    5389211                    5389211                     5389211                     5389211                     3          3446010         5389211       45.30   3446010  1874154  2856114.9  1    2    0.00             
GCF_002073775.2_ASM207377v2_genomic  2                    2                       2                       2                        2                        2                        5173292                 5173292                    5173292                    5173292                     5173292                     5173292                     2          3295711         5173292       45.39   3295711  1877581  2781018.6  1    2    0.00             
GCF_002209725.2_ASM220972v2_genomic  2                    2                       2                       2                        2                        2                        5257294                 5257294                    5257294                    5257294                     5257294                     5257294                     2          3369175         5257294       45.29   3369175  1888119  2837264.5  1    2    0.00             
GCF_002220985.3_HGAP_genomic         2                    2                       2                       2                        2                        2                        5249405                 5249405                    5249405                    5249405                     5249405                     5249405                     2          3468665         5249405       45.19   3468665  1780740  2896075.2  1    2    0.00             
GCF_002290245.2_ASM229024v2_genomic  2                    2                       2                       2                        2                        2                        5165709                 5165709                    5165709                    5165709                     5165709                     5165709                     2          3332265         5165709       45.33   3332265  1833444  2800294.6  1    2    0.00             
GCF_003047085.1_ASM304708v1_genomic  2                    2                       2                       2                        2                        2                        5203326                 5203326                    5203326                    5203326                     5203326                     5203326                     2          3445421         5203326       45.39   3445421  1757905  2875306.3  1    2    0.00             
GCF_003076895.1_ASM307689v1_genomic  5                    5                       5                       5                        4                        4                        5444136                 5444136                    5444136                    5444136                     5424919                     5424919                     5          3477001         5444136       45.27   3477001  1818040  2829427.9  1    2    0.00             
GCF_003085735.1_ASM308573v1_genomic  4                    4                       4                       4                        4                        3                        5404824                 5404824                    5404824                    5404824                     5404824                     5366216                     4          3394092         5404824       45.33   3394092  1902897  2802526.1  1    2    0.00             
GCF_003119375.1_ASM311937v1_genomic  5                    5                       5                       5                        4                        4                        5441285                 5441285                    5441285                    5441285                     5422068                     5422068                     5          3477006         5441285       45.27   3477006  1818054  2830849.1  1    2    0.00             
GCF_003351885.1_ASM335188v1_genomic  4                    4                       4                       4                        4                        4                        5580188                 5580188                    5580188                    5580188                     5580188                     5580188                     4          3567562         5580188       45.34   3567562  1863898  2905405.4  1    2    0.00             
GCF_003612695.1_ASM361269v1_genomic  2                    2                       2                       2                        2                        2                        5188238                 5188238                    5188238                    5188238                     5188238                     5188238                     2          3402675         5188238       45.30   3402675  1785563  2846136.3  1    2    0.00             
GCF_003612715.1_ASM361271v1_genomic  2                    2                       2                       2                        2                        2                        5173301                 5173301                    5173301                    5173301                     5173301                     5173301                     2          3318228         5173301       45.29   3318228  1855073  2793561.2  1    2    0.00             
GCF_003691525.1_ASM369152v1_genomic  3                    3                       3                       3                        3                        3                        5396107                 5396107                    5396107                    5396107                     5396107                     5396107                     3          3508313         5396107       45.24   3508313  1781565  2871240.1  1    2    0.00             
GCF_004006515.1_ASM400651v1_genomic  2                    2                       2                       2                        2                        2                        5168640                 5168640                    5168640                    5168640                     5168640                     5168640                     2          3291121         5168640       45.38   3291121  1877519  2777627.2  1    2    0.00             
